danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.205,0.129,7,-18.197,1,0.0595,0.968,0.946,0.101,0.296,136.871,audio_features,2gMCNoPiMjuVMmzQRlOXMV,spotify:track:2gMCNoPiMjuVMmzQRlOXMV,https://api.spotify.com/v1/tracks/2gMCNoPiMjuVMmzQRlOXMV,https://api.spotify.com/v1/audio-analysis/2gMCNoPiMjuVMmzQRlOXMV,170000,4
0.219,0.19,2,-15.089,0,0.0318,0.962,0.926,0.0986,0.106,89.305,audio_features,1CHswVnHopmeIly3bTSnmF,spotify:track:1CHswVnHopmeIly3bTSnmF,https://api.spotify.com/v1/tracks/1CHswVnHopmeIly3bTSnmF,https://api.spotify.com/v1/audio-analysis/1CHswVnHopmeIly3bTSnmF,164931,4
0.46,0.03,1,-22.209,1,0.0697,0.987,0.897,0.0975,0.0535,133.167,audio_features,2vz6Zep5xyCIAZgIroYL1X,spotify:track:2vz6Zep5xyCIAZgIroYL1X,https://api.spotify.com/v1/tracks/2vz6Zep5xyCIAZgIroYL1X,https://api.spotify.com/v1/audio-analysis/2vz6Zep5xyCIAZgIroYL1X,261309,4
0.461,0.0104,6,-31.073,1,0.0655,0.995,0.908,0.0895,0.106,71.494,audio_features,1D5LT3ZUtwpXFpiv18M0R2,spotify:track:1D5LT3ZUtwpXFpiv18M0R2,https://api.spotify.com/v1/tracks/1D5LT3ZUtwpXFpiv18M0R2,https://api.spotify.com/v1/audio-analysis/1D5LT3ZUtwpXFpiv18M0R2,172107,5
0.417,0.0287,7,-25.066,1,0.0714,0.994,0.889,0.079,0.285,143.262,audio_features,1rpF77jsLBMG2QjCuhe0Sr,spotify:track:1rpF77jsLBMG2QjCuhe0Sr,https://api.spotify.com/v1/tracks/1rpF77jsLBMG2QjCuhe0Sr,https://api.spotify.com/v1/audio-analysis/1rpF77jsLBMG2QjCuhe0Sr,264053,4
0.191,0.0582,8,-25.398,1,0.0578,0.961,0.89,0.0941,0.0454,132.614,audio_features,3weNRklVDqb4Rr5MhKBR3D,spotify:track:3weNRklVDqb4Rr5MhKBR3D,https://api.spotify.com/v1/tracks/3weNRklVDqb4Rr5MhKBR3D,https://api.spotify.com/v1/audio-analysis/3weNRklVDqb4Rr5MhKBR3D,357707,1
0.356,0.0151,4,-33.303,0,0.0467,0.995,0.908,0.0913,0.251,101.011,audio_features,59XrtVk0rikGWU6plMniJF,spotify:track:59XrtVk0rikGWU6plMniJF,https://api.spotify.com/v1/tracks/59XrtVk0rikGWU6plMniJF,https://api.spotify.com/v1/audio-analysis/59XrtVk0rikGWU6plMniJF,245380,3
0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,audio_features,64LTn5fTsPR0QLy7bVYl9w,spotify:track:64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/tracks/64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/audio-analysis/64LTn5fTsPR0QLy7bVYl9w,241987,4
0.463,0.155,5,-17.164,1,0.044,0.877,0.261,0.105,0.222,122.437,audio_features,1qpKMLztFXlRFSlGhjj1dZ,spotify:track:1qpKMLztFXlRFSlGhjj1dZ,https://api.spotify.com/v1/tracks/1qpKMLztFXlRFSlGhjj1dZ,https://api.spotify.com/v1/audio-analysis/1qpKMLztFXlRFSlGhjj1dZ,301720,4
0.279,0.00461,2,-36.886,0,0.0439,0.989,0.982,0.0638,0.039,69.813,audio_features,24cgBBhZD1cWekUqaYuqTB,spotify:track:24cgBBhZD1cWekUqaYuqTB,https://api.spotify.com/v1/tracks/24cgBBhZD1cWekUqaYuqTB,https://api.spotify.com/v1/audio-analysis/24cgBBhZD1cWekUqaYuqTB,181547,5
0.103,0.0931,0,-20.732,0,0.0405,0.968,0.871,0.149,0.0355,85.638,audio_features,4zdyJk5NEGXiWIZ87zfRVQ,spotify:track:4zdyJk5NEGXiWIZ87zfRVQ,https://api.spotify.com/v1/tracks/4zdyJk5NEGXiWIZ87zfRVQ,https://api.spotify.com/v1/audio-analysis/4zdyJk5NEGXiWIZ87zfRVQ,197200,4
